Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Voss,Bollinger,Linear Regression Curve
2022-01-11 16:00:00,41733.92,42925.07,41680.44,42705.24,4848.73177,1641920399999,205794464.02617127,105457,2530.73653,107420793.5962619,351.198533106543,0.9285712349893736,42013.52990769231
2022-01-11 17:00:00,42705.24,43100.0,42319.24,42549.01,4190.85853,1641923999999,178974697.7178099,90731,1946.40192,83120156.1326438,429.66988248838106,0.8323328061716437,42086.19929230769
2022-01-11 18:00:00,42549.01,42916.97,42353.07,42755.0,1416.65246,1641927599999,60441975.6913711,44909,697.28248,29758090.5847989,306.8345127849332,0.8735254135307372,42193.03427692307
2022-01-11 19:00:00,42754.99,43086.7,42595.68,42972.05,1440.44569,1641931199999,61699478.699597,40631,718.48501,30774122.4022987,253.92570236521124,0.937981322283708,42267.379969230766
2022-01-11 20:00:00,42972.04,43095.26,42692.19,42800.38,1219.60178,1641934799999,52272340.7945741,36804,582.77892,24983384.6482452,99.0109409784194,0.7964360863174816,42393.56313846153
2022-01-11 21:00:00,42797.62,42823.69,42643.74,42659.2,702.1038,1641938399999,29999130.6873996,27238,330.44465,14120315.1579351,-102.33510502278182,0.7231484198170212,42456.64655384616
2022-01-11 22:00:00,42664.71,42776.14,42597.41,42713.13,561.85993,1641941999999,23975024.8799349,24841,294.29481,12557917.4230214,-217.1703258375943,0.7236025691805924,42517.974
2022-01-11 23:00:00,42713.12,42886.28,42633.97,42729.29,681.14201,1641945599999,29131172.8574038,23932,365.8403,15647229.4366394,-277.3711251412903,0.70801197186674,42578.66695384614
2022-01-12 00:00:00,42729.29,42965.0,42578.02,42675.0,1004.90689,1641949199999,42957792.4964264,33543,499.46425,21353109.3667096,-321.9203659071493,0.673959712633954,42623.842800000006
2022-01-12 01:00:00,42675.03,42769.06,42562.2,42626.05,724.93634,1641952799999,30910185.7674423,26668,361.3127,15405638.9485947,-330.7996345135564,0.6381216241430129,42667.85593846154
2022-01-12 02:00:00,42626.04,42712.29,42450.0,42559.33,725.31326,1641956399999,30884198.9259231,27084,333.34942,14194670.3681268,-299.7217567651745,0.6062861978166717,42678.31640000001
2022-01-12 03:00:00,42559.34,42679.76,42494.72,42605.02,631.48372,1641959999999,26896549.0774841,23029,346.80274,14771535.5504185,-239.86502096631529,0.6180493637311877,42695.99775384615
2022-01-12 04:00:00,42605.01,42733.87,42518.97,42629.9,784.28575,1641963599999,33418353.1531491,28694,410.76103,17503827.768612,-156.79322469141988,0.6212064796336431,42734.343661538456
2022-01-12 05:00:00,42629.91,42773.64,42560.0,42705.51,652.00214,1641967199999,27829594.3570131,24823,312.03295,13318980.2341618,-57.97138195902636,0.6429413311877712,42780.79673846153
2022-01-12 06:00:00,42705.51,42867.55,42600.01,42675.55,951.67503,1641970799999,40638168.8620343,32380,486.55144,20778196.9217803,18.09203522279674,0.6206537861382674,42837.53458461538
2022-01-12 07:00:00,42675.54,42675.55,42463.13,42561.67,948.81146,1641974399999,40369265.6418785,34267,467.33174,19881073.9662612,52.73447530195733,0.569846983199351,42870.48313846154
2022-01-12 08:00:00,42561.66,42717.57,42508.69,42603.51,869.57762,1641977999999,37066815.964747,33323,436.50964,18607759.0979521,107.0035312544218,0.5800447776249004,42880.641630769234
2022-01-12 09:00:00,42603.51,42909.92,42565.99,42796.83,1281.02538,1641981599999,54753989.8618778,40115,665.68524,28453142.9849407,205.22409321159512,0.6411341792776454,42901.37689230769
2022-01-12 10:00:00,42796.84,42990.01,42735.2,42765.18,1451.62564,1641985199999,62213321.5152727,43403,713.5947,30587324.6277474,250.8425596590252,0.6175502557611804,42930.09455384615
2022-01-12 11:00:00,42765.18,43443.6,42683.21,42935.92,2646.33241,1641988799999,114029526.0902042,68158,1483.64809,63952044.6955061,265.2175763494557,0.6645864873929239,42946.05073846154
2022-01-12 12:00:00,42935.92,43301.5,42874.01,43285.51,2409.05723,1641992399999,103849834.9020503,62728,1272.62562,54861901.7163701,324.56347038161766,0.7941627480226493,42952.24335384616
2022-01-12 13:00:00,43285.52,44078.4,43187.6,43920.97,5227.41461,1641995999999,228425829.0964738,109862,2838.45145,124048277.3904905,420.9612229060019,1.0182988078388953,43013.41575384615
2022-01-12 14:00:00,43920.96,43957.0,43676.18,43849.54,2481.51783,1641999599999,108670859.8466653,63772,1303.76395,57091148.7590229,367.3805883358543,0.9027168249530118,43156.99178461539
2022-01-12 15:00:00,43849.55,43933.0,43401.01,43560.29,2155.48087,1642003199999,94133585.0909207,69567,1033.03931,45128431.0142685,112.19639295543892,0.7613635057624887,43261.443723076925
2022-01-12 16:00:00,43560.29,43688.5,43317.0,43611.02,1613.92113,1642006799999,70269743.4907849,55282,781.78307,34042192.6522798,-82.78076349002208,0.7701440573393477,43297.696184615386
2022-01-12 17:00:00,43611.03,43867.19,43481.73,43841.57,1161.0812,1642010399999,50725984.0413338,39331,603.71455,26382897.8176615,-151.6012702043385,0.8665729714951838,43331.24427692308
2022-01-12 18:00:00,43841.56,43886.26,43567.26,43589.98,1048.28546,1642013999999,45849395.7124853,34824,515.03405,22529476.5451135,-263.27652629506065,0.7262262426531862,43459.93003076924
2022-01-12 19:00:00,43589.97,43760.94,43526.3,43743.11,778.36522,1642017599999,33954578.3933365,30775,369.37749,16113375.973119,-340.1339332938087,0.7619253698316387,43527.69615384615
2022-01-12 20:00:00,43743.1,43993.66,43629.39,43819.17,1258.22966,1642021199999,55121056.7201601,34412,681.61023,29866530.2176973,-312.53423239441946,0.7645738129608578,43625.41981538462
